group name,group sum,group mean,group std per feat,group var
WORD,492373.3125,1501.1381478658536,3558.92333984375,12665935.0
SYLLABIC,794156.875,1036.7583224543082,4468.21142578125,19964912.0
PHRASAL,295594.3125,653.969717920354,3148.251220703125,9911486.0
SEGMENTAL,562528.75,645.1017775229358,3215.308349609375,10338208.0
UTTERANCE,106391.78125,611.4470186781609,3671.14404296875,13477299.0
