group name,group sum,group mean,group std per feat,group var
SYLLABIC_COMPOSITIONAL,899.0555419921875,9.989506022135417,27.900787353515625,778.4539184570312
WORD_PARENTAL_COMPOSITION,757.3099975585938,9.964605231034128,14.83099365234375,219.9583740234375
SEGMENTAL_POSITIONAL_ABSOLUTE,608.6322631835938,9.816649406186995,17.960569381713867,322.5820617675781
WORD_POSITIONAL_RELATIVE,482.00762939453125,9.26937748835637,31.986234664916992,1023.1192626953125
WORD_COMPOSITIONAL,630.3662109375,7.004069010416667,16.871740341186523,284.6556091308594
SYLLABIC_QUALITATIVE,695.520263671875,6.687694842998798,25.212051391601562,635.6475219726562
SYLLABIC_POSITIONAL_ABSOLUTE,1469.531982421875,6.560410635811942,24.149179458618164,583.182861328125
WORD_POSITIONAL_ABSOLUTE,708.18603515625,6.438054865056818,12.653660774230957,160.11512756347656
PHRASAL_COMPOSITIONAL,1723.292236328125,4.064368481905955,14.171201705932617,200.82296752929688
SYLLABIC_POSITIONAL_RELATIVE,648.6431884765625,3.378349939982096,17.598987579345703,309.724365234375
UTTERANCE_COMPOSITIONAL,557.0252075195312,3.20129429608926,19.22064971923828,369.4333801269531
SEGMENTAL_QUALITATIVE,2336.544189453125,2.884622456114969,16.642391204833984,276.9692077636719
SYLLABIC_PARENTAL_COMPOSITION,445.13568115234375,2.853433853540665,23.85504150390625,569.06298828125
PHRASAL_POSITIONAL_ABSOLUTE,-175.67764282226562,-6.274201529366629,35.27796936035156,1244.5350341796875
