group name,group mean,group std per feat,group sum,group var
VUV,848.9478149414062,0.0,848.9478149414062,0.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,17.01594441731771,34.37611770629883,255.23916625976562,1181.7174072265625
NUM_WORDS_FROM_NEXT_CONT_WORD,14.101319533128004,42.68959426879883,183.31715393066406,1822.4014892578125
SYLLABLE_POSITION_IN_WORD_FW,12.540513102213541,19.61085319519043,188.10769653320312,384.5855712890625
SYLLABLE_ACCENT_TYPE,11.282562982468377,34.52186965942383,236.93382263183594,1191.759521484375
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE,10.205379285310444,12.371479988098145,193.90220642089844,153.0535125732422
SYLLABLE_LEN_IN_SEGMENTS,9.989505343967014,27.900785446166992,449.5277404785156,778.4537963867188
SEG_POS_IN_SYL,9.816647437310987,17.960569381713867,304.3160705566406,322.58203125
UTTERANCE_LEN_IN_PHRASES,9.805781773158483,26.80340576171875,68.64047241210938,718.4225463867188
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE,9.723831979851974,16.93361473083496,184.7528076171875,286.7472839355469
SYLLABLE_ACCENTED,9.691482543945312,16.682422637939453,67.84037780761719,278.30322265625
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,8.850436619349889,28.829118728637695,247.81222534179688,831.1180419921875
SYLLABLE_POSITION_IN_WORD,8.756962076822917,21.650476455688477,262.7088623046875,468.7431640625
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_STRESSED_SYL,8.572013268103966,27.039974212646484,111.43617248535156,731.1602172851562
PHRASE_POSITION_IN_UTTERANCE_FW,7.967123849051339,19.046112060546875,55.769866943359375,362.75439453125
SYLLABLE_POSITION_IN_PHRASE_FW,7.495324111566311,25.43302345275879,307.30828857421875,646.8386840820312
WORD_POSITION_IN_PHRASE_BW,7.321682521275112,13.857538223266602,205.00711059570312,192.03135681152344
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_STRESSED_SYLS,7.277231069711538,20.925432205200195,189.2080078125,437.87371826171875
WORD_LEN_IN_SYLS,7.004069688585069,16.871740341186523,315.1831359863281,284.6556396484375
WORD_POSITION_IN_PHRASE,6.438054310191761,12.653660774230957,354.0929870605469,160.11512756347656
PHRASE_LEN_IN_WORDS,6.380358465786638,14.896705627441406,555.0911865234375,221.91183471679688
SYLLABLE_STRESS,6.0455780029296875,18.383960723876953,42.31904602050781,337.9700012207031
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_STRESSED_SYL,5.982450045072115,11.884208679199219,77.7718505859375,141.23440551757812
SYLLABLE_POSITION_IN_PHRASE,5.7567942549542686,24.952754974365234,472.05712890625,622.6400146484375
WORD_POSITION_IN_PHRASE_FW,5.521700258608218,11.196758270263672,149.08590698242188,125.36739349365234
SYLLABLE_POSITION_IN_WORD_BW,4.973412577311198,22.896947860717773,74.60118865966797,524.270263671875
NUM_WORDS_FROM_PREV_CONT_WORD,4.437432802640474,13.30945873260498,57.68662643432617,177.14169311523438
UTTERANCE_LEN_IN_SYLS,4.061979536576705,20.073068618774414,223.40887451171875,402.9281005859375
SYLLABLE_POSITION_IN_PHRASE_BW,4.018265887004573,24.339195251464844,164.7489013671875,592.3964233398438
QUINTPHONE_SEGMENT_VC,4.0141349792480465,11.940494537353516,40.14134979248047,142.57540893554688
QUINTPHONE_SEGMENTAL_FEATURES,2.8846221547067903,16.642391204833984,1168.27197265625,276.9692077636719
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE,2.8560259468947784,16.74331283569336,1128.1302490234375,280.3385009765625
PHRASE_LEN_IN_SYLS,2.45244091796875,13.409459114074707,306.55511474609375,179.8135986328125
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_ACCENTED_SYL,2.378278023856027,13.574360847473145,83.23973083496094,184.26327514648438
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_ACCENTED_SYLS,1.930194091796875,15.949378967285156,135.11358642578125,254.38267517089844
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_ACCENTED_SYL,1.4821108136858259,18.002790451049805,51.873878479003906,324.1004943847656
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,0.2842578125,21.562549591064453,7.1064453125,464.94354248046875
SYLLABLE_NUCLEUS,0.039226531982421875,12.009687423706055,0.6668510437011719,144.2325897216797
SYL_VOWEL_TYPE,0.039226531982421875,12.009687423706055,0.6668510437011719,144.2325897216797
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,-0.5048877716064453,19.771041870117188,-25.244388580322266,390.89410400390625
UTTERANCE_LEN_IN_WORDS,-0.5414688873291016,13.045171737670898,-13.536722183227539,170.17649841308594
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,-0.5712984525240384,16.15170669555664,-7.4268798828125,260.87762451171875
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,-1.2940335083007812,17.765108108520508,-32.35083770751953,315.5990905761719
PHRASE_POSITION_IN_UTTERANCE_BW,-20.515526907784597,41.48114013671875,-143.6086883544922,1720.6849365234375
